DRUG_COSMICID,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,param_1,param_2,param_3,param_4
299_907789,1,0.958762125,0.518894825,0.362273102,0.549680497,0.385919956,0.08103284,0.060064001,0.047784007,0.013184656,0.308366832,0.8,-4.685660963,3.08E-16
34_906855,1,0.989470166,0.890313425,0.675670789,0.602711085,0.463508039,0.284013284,0.134386963,0.114544636,0.11169664,0.466912274,0.952797162,-5.711002121,0.037977019
151_1298167,1,0.98306691,0.994268914,0.988283194,0.993536383,0.926650952,0.877805712,0.726121978,0.076042241,0.075060612,0.799705875,1.105998013,-40.65901097,0.06296193
157_906852,1,0.979022397,0.956680633,0.930132983,0.869262878,0.465014578,0.135102258,0.128242888,0.141058995,0.106185997,0.530201944,1.175090104,-22.56479269,0.117102521
274_1240205,1,0.989315376,0.872485968,0.80419696,0.695918773,0.512531174,0.314041787,0.098393308,0.055904059,0.032741523,0.549722031,1.007339565,-7.641770704,8.35E-22
180_907064,1,0.979139025,0.099871395,0.04781553,0.085643586,0.023324259,0.021890042,0.028608465,0.053659605,0.050157449,0.174441605,1.046448972,-59.28037936,0.044429681
219_1331049,1,0.979137429,0.665204899,0.326721161,0.026751718,0.041455973,0.060289595,0.039544817,0.050252055,0.048973539,0.263745902,1.011191751,-16.11294209,0.038741031
328_906877,1,0.983033029,0.842861403,0.471291228,0.248207072,0.221981155,0.212141921,0.224439625,0.228441663,0.212429501,0.281475929,1.27349769,-19.42608503,0.21750667
328_949153,1,0.971132589,0.961471442,0.881258309,0.468756496,0.202196342,0.054653978,0.035047114,0.019918668,0.013423361,0.44048933,1.030566372,-15.50453199,0.025873308
1149_687985,1,0.980456063,0.867280207,0.43366376,0.113064081,0.095451797,0.113911358,0.125896576,0.113067656,0.091967951,0.302455895,1.124461973,-22.50656653,0.10291593
159_908142,1,0.971017936,0.939893894,0.826207788,0.779189401,0.775784443,0.657908876,0.31050099,0.058674367,0.013705765,0.714312455,1.094573728,-12.038792,2.56E-33
163_946363,1,0.988195578,0.931189904,0.905419437,0.823824738,0.550718323,0.448218726,0.291604837,0.240775226,0.223191884,0.527277056,1.274326286,-9.237229329,0.210592974
83_971777,1,0.964487587,0.719242005,0.510036747,0.296377401,0.338079802,0.214960128,0.106613031,0.078237189,0.119347497,0.279441656,0.897640458,-6.354350031,0.097592005
1058_1659818,1,0.964651862,0.880191197,0.642381708,0.417900148,0.326175002,0.139860139,0.10963271,0.058573594,0.096951381,0.383645513,1.010514594,-8.033328953,0.068717991
159_906854,1,0.980147693,0.958123543,0.929368714,0.779430599,0.763888707,0.639895149,0.361573398,0.14377342,0.140190711,0.710625816,1.020657767,-7.505122741,4.15E-19
272_905938,1,0.97191172,0.962927898,0.71489967,0.383650516,0.010746701,0.009440922,0.008498032,0.012314566,0.005661607,0.402769818,1.007404709,-16.19487839,1.43E-18
272_905945,1,0.953447619,0.95274949,0.83937343,0.667633831,0.325738848,0.193609983,0.093028469,0.100060771,0.06347347,0.478588559,1.102542788,-11.94169353,0.07619288
273_909249,1,0.956710011,0.958340186,0.812932826,0.598346247,0.405187608,0.267437031,0.171380244,0.16045336,0.131352385,0.451350691,1.139585153,-9.216991511,0.134368204
135_906763,1,0.950133798,0.759873447,0.274351779,0.088561547,0.009217235,0.059283254,0.038010022,0.01139623,0.010892229,0.277604138,1.029844244,-19.00839573,0.027603156
167_753531,1,0.958125962,0.925443706,0.881411682,0.800039669,0.51623036,0.505944938,0.457284474,0.055010533,0.055814488,0.642058245,0.997939881,-6.17010335,8.12E-18
